"DATA","DESCRIZIONE","COSTO","TIPO SPESA","FORNITORE","CATEGORIA","DESTINAZIONE","METODO PAGAMENTO","PAGATO","AZIONI"
"12/03/2025","SPESE DI ISTRUTTORIA PER INVIO DELIBERA DI APPROVAZIONE DEL FINANZIAMENTO BCC","500,00 €","Fissi","Finergis","Banca","Azienda","Bonifico","","   "
"12/03/2025","FATTURA IEE2025003059418 (ABBONAMENTO MENSILE ADOBE CREATIVE CLOUD)","55,84 €","Variabili","Adobe","Gestione","Azienda","Bonifico","","   "
"13/03/2025","FATTURA 2440299","22,40 €","Fissi","Nexi Payments spa","Sito","Azienda","Bonifico","","   "
"13/03/2025","SPESE ISTRUTTORIA REGISTRI NAUTICI - VISTO ANNUALE 2025 E RILASCIO CERTIFICATI NAVIGABILITÀ MAGIA, GHIBLI, BELUGA, LIBERA, L'AURORA, ETERNITY E BECOME","115,00 €","Fissi","Provincia di Brescia","Burocrazia","Azienda","Bonifico","","   "
"13/03/2025","FATTURA 01-26166 (RATA 8 DI 8 CONTRATTO DI LOCAZIONE APPLE DESKTOP MAC MINI)","582,61 €","Fissi","Banca Ifis APPLE","Gestione","Azienda","Bonifico","","   "
"14/03/2025","FATTURA 2/A (LAVORI DI TINTEGGIATURA UFFICIO 2)","960,00 €","Variabili","Stefano Meneghetti","Ufficio","Azienda","Bonifico","","   "
"14/03/2025","IMPOSTE SUL CONTRATTO DI AFFITTO APPARTAMENTO ANGELICA","117,65 €","Fissi","Agenzia delle Entrate","Tasse","Azienda","Bonifico","","   "
"15/03/2025","FATTURA V2-109793 (RATA 3 DI 29 CANONE LEASING APPLE DESKTOP IMAC M4 UFFICIO)","63,85 €","Fissi","Banca Ifis APPLE","Gestione","Azienda","Bonifico","","   "
"17/03/2025","F24 BERTOLDI BOATS (COMPENSATO CON CREDITO IVA)","5.662,13 €","Fissi","Agenzia delle Entrate","Tasse","Azienda","Bonifico","","   "
"17/03/2025","NOTA DI CREDITO 397 A STORNO DELLA FT. 187 PER DOPPIA FATTURAZIONE ERRATA","647,13 €","Variabili","Media Company s.r.l.","Pubblicità","Azienda","Bonifico","","   "
"17/03/2025","FATTURA 57 (POMPETTA CARBURANTE E TUBO PER MAGIA)","63,58 €","Variabili","Domenegoni","Cantiere","Magia","Bonifico","","   "
"17/03/2025","FATTURA 25-002244 (2 TIMBRI PER RIVA BOATS CHARTER S.R.L.)","56,33 €","Variabili","Mister Timbri","Gestione","Azienda","Bonifico","","   "
"17/03/2025","POLIZZA CONTRO DANNI CATASTROFALI SUGLI UFFICI","232,00 €","Variabili","Cattolica Assicurazioni","Gestione","Azienda","Bonifico","","   "
"17/03/2025","RC GHIBLI","175,00 €","Fissi","Assicura sas","Gestione","Ghibli","Bonifico","","   "
"18/03/2025","FATTURA 2025/01735/660 (GASOLIO)","1.024,23 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"19/03/2025","FATTURA 120492 (CIALDE CAFFÈ PER UFFICIO)","71,97 €","Variabili","Nespresso","Ufficio","Azienda","Bonifico","","   "
"20/03/2025","RC KIAR DI LUNA (COPERTURA DAL 20/03/25 AL 30/09/25)","134,50 €","Fissi","Assicura sas","Gestione","Kiar di Luna","Bonifico","","   "
"20/03/2025","RINNOVO ETERNITY","1.000,00 €","Variabili","Casati","Burocrazia","Eternity","Contante Extra","","   "
"21/03/2025","ACQUISTO 5 MARCHE DA BOLLO DA 16€ PER RINNOVO CERTIFICATI DI NAVIGABILITÀ MAGIA, GHIBLI, L'AURORA, BELUGA ED ETERNITY","80,00 €","Fissi","Cartoleria","Burocrazia","Azienda","Contante","","   "
"24/03/2025","FATTURA IT5003V07OUH3I (1000 PALETTE PER CAFFÈ)","8,18 €","Variabili","Amazon","Ufficio","Azienda","Bonifico","","   "
"24/03/2025","SPOTIFY MARZO 2025","35,98 €","Fissi","Spotify","Gestione","Azienda","Bonifico","","   "
"24/03/2025","RC BECOME","170,50 €","Fissi","Assicura sas","Gestione","Become","Bonifico","","   "
"25/03/2025","FATTURA 2025E113860 (ELETTRICITÀ UFFICIO FEBBRAIO 2025)","101,07 €","Fissi","Repower","Ufficio","Azienda","Bonifico","","   "
"25/03/2025","FATTURA 8 (RIPARAZIONE CADDY)","212,00 €","Variabili","Abeni meccanico","Meccanico","Azienda","Bonifico","","   "
"25/03/2025","FATTURA 123 (BATTERIA PER CANDIDO)","286,90 €","Variabili","Zenith","Acquisto nuovo","Candido","Bonifico","","   "
"26/03/2025","ACQUISTO 3 MARCHE DA BOLLO DA 16€ PER AUTENTICAZIONE CERTIFICATI DI NAVIGABILITÀ","48,00 €","Fissi","Cartoleria","Burocrazia","Azienda","Contante","","   "
"26/03/2025","FATTURA 202500364 (TONER MAGENTA)","108,00 €","Variabili","Area Ufficio snc","Ufficio","Azienda","Bonifico","","   "
"27/03/2025","FATTURA DE51008LZAEUI (3 FLACONI DI SAPONE PER UFFICIO)","3,33 €","Variabili","Amazon","Ufficio","Azienda","Bonifico","","   "
"27/03/2025","FATTURA DE5007CEBIAJHI (2 CONFEZIONI DI PELLICOLE PER MACCHINA FOTOGRAFICA ISTANTANEA)","42,01 €","Variabili","Amazon","Gestione","Azienda","Bonifico","","   "
"27/03/2025","FATTURA 2025/01735/725 (GASOLIO)","1.209,66 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"27/03/2025","SPESE ISTRUTTORIA PER ISTANZA DI SUBINGRESSO POSTO BARCA KIAR DI LUNA","50,00 €","Fissi","Consorzio Salò","Burocrazia","Kiar di Luna","Bonifico","","   "
"28/03/2025","FATTURA 542 (15 CONFEZIONI DI ACQUA NATURALE)","77,62 €","Variabili","Quadri Bevande srl","Cibo e bevande","Azienda","Bonifico","","   "
"28/03/2025","FATTURA 662 (30 PAIA DI PANTALONI LUNGHI, DI CUI 3 IN OMAGGIO PER TAGLIA ERRATA)","685,80 €","Variabili","Santi eugenio spa","Acquisto nuovo","Azienda","Bonifico","","   "
"30/03/2025","AFFITTO DI RAMO D'AZIENDA IMBARCAZIONE 2060 BS N (PER IL PERIODO DAL 01/03/2025 AL 01/03/2026)","40.000,00 €","Fissi","Danieli Marco","Gestione","Kiar di Luna","Bonifico","","   "
"31/03/2025","FATTURA 9 (CONSULENZA MARZO 2025)","852,00 €","Variabili","Sarasini Laura","Marketing","Azienda","Bonifico","","   "
"31/03/2025","FATTURA 506/S (RIATTIVAZIONE REGISTRATORE DI CASSA PER RIVA BOATS CHARTER, CON RINNOVO DGFE E ADEGUAMENTO)","405,00 €","Fissi","S.C. sistemi di cassa","Gestione","Riva","Bonifico","","   "
"31/03/2025","FATTURA 15/V1/2025","14.824,50 €","Variabili","wmr srl","Sito","Azienda","Bonifico","","   "
"31/03/2025","FATTURA 1006/3G (CASSA IN CLOUD, TOTALE CANONE SOFTWARE)","440,00 €","Variabili","Teamsystem s.p.a.","Gestione","Azienda","Bonifico","","   "
"31/03/2025","SPESE BANCARIE","2.003,61 €","Fissi","BNL B.BOATS","Banca","Azienda","Bonifico","","   "
"31/03/2025","SPESE BANCARIE","17,96 €","Fissi","Banca BCC","Banca","Azienda","Bonifico","","   "
"31/03/2025","FATTURA 417/00 (RATA 2 DI 2 CANONE DI LOCAZIONE CARTELLO PUBBLICITARIO A DESENZANO)","642,94 €","Fissi","Pic srl","Pubblicità","Azienda","Bonifico","","   "
"31/03/2025","FATTURA 25FVI03019 (TERMINALE, PROFILATO PVC, TERMINALE E POMPA SENTINA PER BELUGA)","268,56 €","Fissi","Osculati","Cantiere","Beluga","Bonifico","","   "
"31/03/2025","FATTURA 25FVI03019 (CASSETTA PRONTO SOCCORSO PER COLUMBUS)","6,52 €","Fissi","Osculati","Cantiere","Columbus","Bonifico","","   "
"31/03/2025","FATTURA 25FVI03019 (CASSETTA PRONTO SOCCORSO PER VIRGILIO)","6,52 €","Fissi","Osculati","Cantiere","Virgilio","Bonifico","","   "
"31/03/2025","FATTURA 25FVI03019 (CASSETTA PRONTO SOCCORSO PER CANDIDO)","6,52 €","Fissi","Osculati","Cantiere","Candido","Bonifico","","   "
"31/03/2025","FATTURA 25FVI03019 (CARICABATTERIE PER TUTTE LE BARCHE E 2 POMPE DI SENTINA DI SCORTA)","360,01 €","Fissi","Osculati","Cantiere","Azienda","Bonifico","","   "
"31/03/2025","BOLLO FURGONCINO 2025","34,45 €","Fissi","ACI","Gestione","Azienda","Bonifico","","   "
"31/03/2025","FATTURA 148 (REVISIONE ESTINTORI)","436,00 €","Fissi","ste.lla","Gestione","Azienda","Bonifico","","   "
"31/03/2025","FATTURA FD/970 (ARTICOLI VARI PER CANTIERE)","217,64 €","Variabili","cima","Cantiere","Azienda","Bonifico","","   "
"31/03/2025","FATTURA 9 (CONSULENZA CREATIVA E PROGETTAZIONE GRAFICA FEBBRAIO 2025)","330,00 €","Variabili","Logotomica","Grafica","Azienda","Bonifico","","   "
"31/03/2025","FATTURA 227 (ADESIVI PER BELUGA)","43,00 €","Fissi","Garda incisioni","Grafica","Beluga","Bonifico","","   "
"01/04/2025","FATTURA 140 (COSTITUZIONE SOCIETÀ RIVA BOATS CHARTER S.R.L.)","1.800,00 €","Fissi","Pozzoli","Legali","Riva","Bonifico","","   "
"01/04/2025","FATTURA 42B8DAE0-0040 (CANONE REGIONDO APRILE 2025)","99,00 €","Fissi","Regiondo","Sito","Azienda","Bonifico","","   "
"01/04/2025","FATTURA 53 (STUZZICHINI PER TOUR MARZO)","70,00 €","Variabili","Forno integrale snc","Cibo e bevande","Azienda","Bonifico","","   "
"01/04/2025","Forfait ragazzi marzo","300,00 €","Fissi","Anselmo","Cantiere","Azienda","Contante Extra","","   "
"01/04/2025","SALDO ETERNITY","2.450,00 €","Fissi","Anselmo","Cantiere","Eternity","Contante Extra","","   "
"01/04/2025","AFFITTI APRILE E MAGGIO 2025","1.000,00 €","Fissi","Angelica Donati","Gestione","Azienda","Contante Extra","","   "
"01/04/2025","COSTI ISTRUTTORIA","40,00 €","Fissi","Angelica Donati","Gestione","Azienda","Contante Extra","","   "
"01/04/2025","SHOOTING MARTINA","400,00 €","Variabili","Martina Dall'Oglio","Fotografia e video","Azienda","Contante Extra","","   "
"02/04/2025","FATTURA 115 (TRASPORTO CANTIERE-DESENZANO ETERNITY)","210,00 €","Fissi","Logistic Trans","Logistica","Eternity","Bonifico","","   "
"02/04/2025","FATTURA 115 (TRASPORTO CANTIERE-DESENZANO CANDIDO)","210,00 €","Fissi","Logistic Trans","Logistica","Candido","Bonifico","","   "
"02/04/2025","FATTURA B_000155631/2025","18,44 €","Variabili","Easy Park Italia srl","Gestione","Azienda","Bonifico","","   "
"02/04/2025","FATTURA 2025/01735/802 (GASOLIO)","1.161,08 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"02/04/2025","FATTURA 30/001 (LAVORI VIRGILIO)","1.800,00 €","Fissi","Anselmo","Cantiere","Virgilio","Bonifico","","   "
"02/04/2025","FATTURA 30/001 (LAVORI CANDIDO)","1.500,00 €","Fissi","Anselmo","Cantiere","Candido","Bonifico","","   "
"03/04/2025","FATTURA 514/S (VERIFICAZIONE PERIODICA REGISTRATORE CASSA UFFICIO)","78,00 €","Fissi","S.C. sistemi di cassa","Gestione","Azienda","Bonifico","","   "
"03/04/2025","FATTURA 94 (LAVORI VIRGILIO)","14.864,23 €","Fissi","Domenegoni","Meccanico","Virgilio","Bonifico","","   "
"03/04/2025","FATTURA 7/2974 (VISITA PER RINNOVO IDONEITÀ AL NOLEGGIO CANDIDO)","485,00 €","Fissi","Istituto Giordano spa","Burocrazia","Candido","Bonifico","","   "
"04/04/2025","SPESE DI RIMBORSO TRASFERTA PER VISITA TECNICA CANDIDO","70,00 €","Fissi","Istituto Giordano spa","Burocrazia","Candido","Contante Extra","","   "
"04/04/2025","NOTA DI CREDITO IT50000W7OUH3C A STORNO DELLA FT. IT5003V07OUH3I PER LE PALETTINE CAFFÈ NON RICEVUTE","8,18 €","Variabili","Amazon","Ufficio","Azienda","Bonifico","","   "
"04/04/2025","COMMISSIONI PER ATTIVAZIONE GARANZIA PRATICA 7100268","3.750,00 €","Fissi","Finergis","Banca","Azienda","Bonifico","","   "
"05/04/2025","AFFITTO APPARTAMENTO COLOMBARE APRILE 2025","400,00 €","Fissi","Angelica Donati","Gestione","Azienda","Bonifico","","   "
"05/04/2025","FATTURA 20 (AFFITTO UFFICI APRILE 2025)","1.200,00 €","Fissi","Peruz","Ufficio","Azienda","Bonifico","","   "
"07/04/2025","FATTURA V2-153786 (RATA 12 DI 29 CANONE LEASING APPLE LAPTOP MACBOOK AIR MARCELLO)","59,38 €","Fissi","Banca Ifis APPLE","Gestione","Azienda","Bonifico","","   "
"07/04/2025","FATTURA MC10851063","128,74 €","Fissi","Mailchimp","Pubblicità","Azienda","Bonifico","","   "
"07/04/2025","RC ETERNITY","176,50 €","Fissi","Assicura sas","Gestione","Eternity","Bonifico","","   "
"08/04/2025","FATTURA 2025/01735/857 (GASOLIO)","957,61 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"08/04/2025","FATTURA 9 (PUBBLICITÀ ANNO 2025)","500,00 €","Variabili","Gruppo sportivo Giovani Giussanesi","Pubblicità","Azienda","Bonifico","","   "
"09/04/2025","FATTURA IT25-AEUI-4634516 (36 ROTOLI DI SCOTTEX)","25,64 €","Fissi","Amazon","Gestione","Azienda","Bonifico","","   "
"09/04/2025","FATTURA IT25-AEUI-4634527 (36 ROTOLI DI SCOTTEX)","25,64 €","Fissi","Amazon","Gestione","Azienda","Bonifico","","   "
"09/04/2025","FATTURA IT25-AEUI-4665142 (5 SPAZZOLE, 20 SPUGNE MAGICHE E 5 TERMINALI MOCHO)","77,50 €","Fissi","Amazon","Gestione","Azienda","Bonifico","","   "
"09/04/2025","FATTURA IT25-AEUI-4647024 (30 ROTOLI DI SACCHI PER IMMONDIZIA)","34,32 €","Fissi","Amazon","Gestione","Azienda","Bonifico","","   "
"10/04/2025","PRIMA RATA AFFITTO LIBERA","5.000,00 €","Fissi","Nicolò","Gestione","Libera","Bonifico","","   "
"10/04/2025","OLIO PER TEAK BECOME E PENNELLO","32,00 €","Variabili","Ferramenta Bortolotti","Cantiere","Become","Contante Extra","","   "
"10/04/2025","TORNITORE","30,00 €","Variabili","Tornitore","Cantiere","","Contante Extra","","   "
"10/04/2025","FATTURA 4 (CONSULENZA SOCIAL)","350,00 €","Variabili","Rey Martina","Marketing","Azienda","Bonifico","","   "
"10/04/2025","FATTURA 202500553 (TONER CIANO E 5 CONFEZIONI DI ROTOLINI PER POS)","132,00 €","Variabili","Area Ufficio snc","Ufficio","Azienda","Bonifico","","   "
"10/04/2025","AFFITTO APPARTAMENTO MARCELLO APRILE 2025","500,00 €","Fissi","Marcello Bertoldi","Gestione","Azienda","Bonifico","","   "
"12/04/2025","FATTURA IEE2025004362891 (ABBONAMENTO MENSILE ADOBE CREATIVE CLOUD)","55,84 €","Variabili","Adobe","Gestione","Azienda","Bonifico","","   "
"14/04/2025","FATTURA 670 (15 CASSE DI ACQUA NATURALE, 1 CONFEZIONE DI COCA COLA E 1 CONFEZIONE DI FANTA)","106,68 €","Variabili","Quadri Bevande srl","Cibo e bevande","Azienda","Bonifico","","   "
"14/04/2025","FATTURA 2025/01735/895 (GASOLIO)","1.104,28 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"14/04/2025","FATTURA V1-8298 (STIPULA LEASING PER APPLE TABLET IPAD AIR M3)","335,23 €","Fissi","Banca Ifis APPLE","Gestione","Azienda","Bonifico","","   "
"14/04/2025","FATTURA IT50033ZUGHI3I (15 CAVI USB PER IPAD)","85,65 €","Fissi","Amazon","Acquisto nuovo","Azienda","Bonifico","","   "
"14/04/2025","FATTURA IT5002YDPTH7BI (50 PANNI PER LA PULIZIA)","23,75 €","Fissi","Amazon","Gestione","Azienda","Bonifico","","   "
"14/04/2025","FATTURA 15 (COMPENSO PAGHE PRIMO TRIMESTRE 2025)","3.289,10 €","Fissi","Fanti Andrea","Contabilità","Azienda","Bonifico","","   "
"14/04/2025","FATTURA 164 (VIDIMAZIONE LIBRO VERBALI ASSEMBLEE SOCI E LIBRO VERBALI AMMINISTRATIVO)","175,00 €","Fissi","Pozzoli","Legali","Riva","Bonifico","","   "
"15/04/2025","FATTURA V2-165731 (RATA 4 DI 29 CANONE LEASING APPLE DESKTOP IMAC M4 UFFICIO","63,85 €","Fissi","Banca Ifis APPLE","Gestione","Azienda","Bonifico","","   "
"15/04/2025","FATTURA 2025/01735/913 (GASOLIO)","1.227,87 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"16/04/2025","F24 BERTOLDI BOATS (COMPENSATO CON CREDITO IVA)","11.037,08 €","Fissi","Agenzia delle Entrate","Tasse","Azienda","Bonifico","","   "
"16/04/2025","RITENUTA D'ACCONTO SULLA FATTURA 161 DEL NOTAIO POZZOLI RELATIVA ALL'AFFITTO DEL KIAR DI LUNA (COMPENSATA CON CREDITO IVA)","281,69 €","Fissi","Agenzia delle Entrate","Tasse","Kiar di Luna","Bonifico","","   "
"16/04/2025","FATTURA 9/001 (FORNITURA E POSA DI PORTE INTERNE PER IL SECONDO UFFICIO)","680,00 €","Variabili","Martinelli Fiorenzo","Ufficio","Azienda","Bonifico","","   "
"16/04/2025","FATTURA 2025/01735/921 (GASOLIO)","646,56 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"16/04/2025","FATTURA 1/21 (DISTRIBUZIONE VOLANTINI)","1.000,00 €","Variabili","Garda Turismo srl","Pubblicità","Azienda","Bonifico","","   "
"16/04/2025","F24 RIVA BOATS CHARTER S.R.L.","241,57 €","Fissi","Agenzia delle Entrate","Tasse","Riva","Bonifico","","   "
"17/04/2025","FATTURA 35/001 (LAVORI COLUMBUS)","3.300,00 €","Fissi","Anselmo","Cantiere","Columbus","Bonifico","","   "
"17/04/2025","FATTURA 929 (GPS PER MOTOSCAFO RIVA)","137,66 €","Variabili","MAS System srl","Acquisto nuovo","Riva","Bonifico","","   "
"18/04/2025","FATTURA 2025/01735/945 (GASOLIO)","1.015,21 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"20/04/2025","FATTURA 2025F000432373","445,62 €","Fissi","Wind","Gestione","Azienda","Bonifico","","   "
"21/04/2025","FATTURA 2479216","22,40 €","Fissi","Nexi Payments spa","Sito","Azienda","Bonifico","","   "
"21/04/2025","FATTURA 2025/01735/968 (GASOLIO)","328,22 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"22/04/2025","RC RIVA","385,00 €","Fissi","Cattolica Assicurazioni","Gestione","Riva","Bonifico","","   "
"22/04/2025","FATTURA 20250007100014 (ACQUA UFFICIO 2)","182,61 €","Fissi","Acque Bresciane","Ufficio","Azienda","Bonifico","","   "
"22/04/2025","SPESE DI ISTRUTTORIA PER GARANZIA FINANZIAMENTO RIVA","390,00 €","Fissi","Finergis","Banca","Riva","Bonifico","","   "
"22/04/2025","VERSAMENTO CAPITALE SOCIALE DALLA BB ALLA RIVA","15.000,00 €","Fissi","Riva Boats Charter s.r.l.","Gestione","Riva","Bonifico","","   "
"22/04/2025","VERSAMENTO FINANZIAMENTO INFRUTTIFERO SOCIO DALLA BB ALLA RIVA","80.000,00 €","Fissi","Riva Boats Charter s.r.l.","Gestione","Riva","Bonifico","","   "
"22/04/2025","FINANZIAMENTO LIBERO SOCIO","3.000,00 €","Fissi","Riva Boats Charter s.r.l.","Gestione","Riva","Bonifico","","   "
"22/04/2025","SALDO BELUGA","2.950,00 €","Fissi","Anselmo","Cantiere","Beluga","Contante Extra","","   "
"22/04/2025","FORFAIT RAGAZZI FEBBRAIO","300,00 €","Fissi","Anselmo","Cantiere","Azienda","Contante Extra","","   "
"23/04/2025","FATTURA 2221 (LAVORI AL MOTORE LIBERA)","2.324,80 €","Variabili","bmotor","Meccanico","Libera","Bonifico","","   "
"23/04/2025","FATTURA VEN/884 (6 CASSE DI BRUT ROSÉ E 6 CASSE DI ROSAMARA)","831,10 €","Variabili","Costaripa","Cibo e bevande","Azienda","Bonifico","","   "
"23/04/2025","FATTURA 174537 (CAPSULE CAFFÈ PER UFFICIO)","65,57 €","Variabili","Nespresso","Ufficio","Azienda","Bonifico","","   "
"23/04/2025","FATTURA 2025/01735/971 (GASOLIO)","1.048,56 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"24/04/2025","MARCA DA BOLLO DI 1560€ PER CAMBIALE > PAGATA CON I CONTANTI DELLA BB","1.560,00 €","Variabili","Tabacchino","Acquisto nuovo","Riva","Contante","","   "
"24/04/2025","FATTURA 743 (10 CASSE DI NATURALE E 1 CONFEZIONE DI BIRRA IN BOTTIGLIA)","70,56 €","Variabili","Quadri Bevande srl","Cibo e bevande","Azienda","Bonifico","","   "
"24/04/2025","SPOTIFY APRILE 2025","35,98 €","Fissi","Spotify","Gestione","Azienda","Bonifico","","   "
"24/04/2025","FATTURA 2025/01735/987 (GASOLIO)","668,95 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"24/04/2025","FINANZIAMENTO LIBERO SOCIO","1.000,00 €","Fissi","Riva Boats Charter s.r.l.","Gestione","Riva","Bonifico","","   "
"25/04/2025","FATTURA 2025E155751 (ELETTRICITÀ UFFICIO MARZO 2025)","80,03 €","Fissi","Repower","Ufficio","Azienda","Bonifico","","   "
"28/04/2025","FATTURA 181 (BATTERIA PER VIRGILIO SOSTITUITA IN QUANTO ANCORA IN GARANZIA, ACQUISTATA CON FT. 233 DEL 20/05/24)","0,00 €","Variabili","Zenith","Acquisto nuovo","Virgilio","Bonifico","","   "
"28/04/2025","FATTURA 2025/01735/999 (GASOLIO)","549,55 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"28/04/2025","FATTURA 7/3493 (VISITA TECNICA PER RILASCIO IDONEITÀ AL NOLEGGIO RIVA)","575,00 €","Fissi","Istituto Giordano spa","Burocrazia","Riva","Bonifico","","   "
"28/04/2025","FATTURA 569O/2025 (COPERCHIO PER SCHERMO KIAR DI LUNA)","50,82 €","Variabili","PAINE snc","Acquisto nuovo","Kiar di Luna","Bonifico","","   "
"28/04/2025","FATTURA 1 (ACQUISTO MOTOSCAFO RIVA)","330.000,00 €","Fissi","Sarnico Classic Boats s.r.l.","Acquisto nuovo","Riva","Bonifico","","   "
"28/04/2025","FATTURA 2 (LAVORI PER ISPESSIMENTO BOTTAZZO RIVA)","1.600,00 €","Fissi","Sarnico Classic Boats s.r.l.","Gestione","Riva","Bonifico","","   "
"28/04/2025","FATTURA 9 (TRASPORTO RIVA DA PARATICO A SIRMIONE 2)","600,00 €","Fissi","Vitali Roberto","Logistica","Riva","Bonifico","","   "
"29/04/2025","RIMBORSO SPESE DI VIAGGIO TRASFERTA PER VISITA TECNICA RIVA","70,00 €","Fissi","Istituto Giordano spa","Burocrazia","Riva","Contante Extra","","   "
"29/04/2025","FATTURA 2025/070 (CAPPA IMPERMEABILE, CAPPA COTONE E LINEA TURCHESE RIVA)","3.430,00 €","Fissi","Tappezzeria Nautica","Gestione","Riva","Bonifico","","   "
"29/04/2025","FATTURA 11 (CONSULENZA APRILE 2025)","852,00 €","Variabili","Sarasini Laura","Marketing","Azienda","Bonifico","","   "
"29/04/2025","ABBONAMENTO SPOTIFY PER RIVA > ANDRÀ SEMPRE GIÙ DAL CONTO PAYPAL BB","17,99 €","Fissi","Spotify","Gestione","Riva","Bonifico","","   "
"30/04/2025","FATTURA 578 (CONSULENZA AMMINISTRATIVA E CONTABILE PRIMO TRIMESTRE)","1.500,00 €","Fissi","Gesta srl","Contabilità","Azienda","Bonifico","","   "
"30/04/2025","FATTURA 645 (CONSULENZA ORGANIZZAZIONE AZIENDALE PRIMO TRIMESTRE)","1.500,00 €","Fissi","Gesta srl","Contabilità","Azienda","Bonifico","","   "
"30/04/2025","SPESE BANCARIE","58,64 €","Fissi","Banca BCC","Banca","Azienda","Bonifico","","   "
"30/04/2025","FATTURA 71503/2025 (LINEA FISSA E CENTRALINO)","230,30 €","Fissi","Intred spa","Gestione","Azienda","Bonifico","","   "
"30/04/2025","SPESE BANCARIE","670,12 €","Fissi","BNL B.BOATS","Banca","Azienda","Bonifico","","   "
"30/04/2025","FATTURA 703 (ELABORAZIONE ED INVIO CERTIFICAZIONE UNICA)","102,00 €","Fissi","Gesta srl","Contabilità","Azienda","Bonifico","","   "
"30/04/2025","FATTURA FD/1509 (ARTICOLI VARI PER CANTIERE)","101,09 €","Variabili","cima","Cantiere","Azienda","Bonifico","","   "
"30/04/2025","FATTURA 321 (ADESIVI PER ETERNITY)","59,00 €","Fissi","Garda incisioni","Grafica","Eternity","Bonifico","","   "
"30/04/2025","FATTURA 321 (ADESIVI PER MAGIA)","59,00 €","Fissi","Garda incisioni","Grafica","Magia","Bonifico","","   "
"30/04/2025","FATTURA 13 (500 CARTOLINE PER DESENZANO, 200 VOLANTINI PER SIRMIONE, 200 VOLANTINI PER DESENZANO, PIEGHEVOLI TOUR DI GRUPPO SIRMIONE E DESENZANO, CONSULENZA CREATIVA E PROGETTAZIONE GRAFICA MARZO 2025)","2.410,00 €","Variabili","Logotomica","Grafica","Azienda","Bonifico","","   "
"30/04/2025","Acconto acquisto San Felice","20.000,00 €","Variabili","San Felice Boats S.r.l.","Acquisto nuovo","Ocean","Bonifico","","   "
"30/04/2025","Saldo Columbus","2.550,00 €","Fissi","Anselmo","Cantiere","Columbus","Contante Extra","","   "
"30/04/2025","Forfait ragazzi aprile","300,00 €","Fissi","Anselmo","Cantiere","Azienda","Contante Extra","","   "
"30/04/2025","Sostituzione carboncini elica di prua","450,00 €","Variabili","Anselmo","Cantiere","Eternity","Contante Extra","","   "
"30/04/2025","Lavori vari","630,00 €","Variabili","Anselmo","Cantiere","Magia","Contante Extra","","   "
"30/04/2025","Lavori vari","480,00 €","Variabili","Anselmo","Cantiere","Beluga","Contante Extra","","   "
"30/04/2025","Lavori vari","800,00 €","Variabili","Anselmo","Cantiere","Eternity","Contante Extra","","   "
"30/04/2025","Lavori vari","200,00 €","Variabili","Anselmo","Cantiere","Libera","Contante Extra","","   "
"30/04/2025","Lavori vari","390,00 €","Variabili","Anselmo","Cantiere","Become","Contante Extra","","   "
"30/04/2025","NOTA DI CREDITO 25NCM0611 (3 GIUBBOTTI MANUALI PER RIVA MANCANTI NELL'ORDINE PRECEDENTE)","142,59 €","Fissi","Osculati","Gestione","Riva","Bonifico","","   "
"30/04/2025","FATTURA 2025/01735/1017 (GASOLIO)","1.011,41 €","Fissi","Shveda Lyubov","Gasolio","Azienda","Bonifico","","   "
"30/04/2025","FATTURA 141 (LAVORI COLUMBUS)","2.999,11 €","Fissi","Domenegoni","Meccanico","Columbus","Bonifico","","   "
"30/04/2025","SPESE ISTRUTTORIA PER RILASCIO CERTIFICATO IDONEITÀ AL NOLEGGIO RIVA","20,00 €","Fissi","Provincia di Brescia","Burocrazia","Riva","Bonifico","","   "
"30/04/2025","MARCA DA BOLLO PER ISTANZA DI RILASCIO IDONEITÀ AL NOLEGGIO RIVA","16,00 €","Fissi","Tabacchino","Burocrazia","Riva","Contante Extra","","   "
"30/04/2025","FATTURA 2025-0000975/00 (CORSI DI PRIMO SOCCORSO PER STARCENCO E DAL CERO E CORSO DI FORMAZIONE GENERALE E SPECIFICA PER IMPERO, OVALLE E DOSEVSKI)","845,00 €","Fissi","Saef","Formazione e sicurezza","Azienda","Bonifico","","   "
"30/04/2025","FATTURA 456 (LIQUIDAZIONE PERIODICA IVA QUARTO TRIMESTRE 2024)","50,00 €","Fissi","Gesta srl","Contabilità","Azienda","Bonifico","","   "
